"Real_ID","ID","sex","L_iris","a_iris","b_iris","ID2","L_iris_scaled","a_iris_scaled","b_iris_scaled","Rec_Session_Id","Set_ID","Trial_Id.x","Trial_Nr","Task_Name","culture","EyeCol","order","Set.x","Set.y","Trial_Id.y","Grupa_ATD","Grupa_EYE","Culture","SMUi_1","SMUi_2","SMUi_3","Facebook_AP","Instagram_AP","TikTok_AP","TwitterX_AP","YouTube_AP","Freq_Facebook","Freq_Instagram","Freq_TikTok","Freq_TwitterX","Freq_YouTube","NEG_FOMO","NEG_better_friends","NEG_hobbies","NEG_too_much_time","fa_8_ml","fa_8_uls","CFA_smu_score_8_no_covariance","CFA_smu_score_8_covariance","fa_12_ml_1FA","fa_12_ml_2FA","fa_12_ml_2FA_aka_NEG","fa_12_uls_1FA","fa_12_uls_2FA","CFA_smu_score_12_SMU_negsep","CFA_smu_score_12_NEG","CFA_smu_score_12_SMU_negNEsep","SMU_score","cultur","SMU_heavy","check_SMU_split","Fami_back","travel_abroad","NearMedian25","NearMedian25_f"
"4091_F_CZ_19_F","4091_F _19","f",34.4369,1.889,6.1379,"CZ_19_F",0.460472120407514,-0.740800794383309,-0.143792669860903,1127243,"CZ_19_F_20",20,1,"CZ_19_F_eye","AUS_NZ","Blue",1,"CZ_19_F","CZ_19_F",20,"CZ_19F_ATD","CZ_19_F_eye","AUS_NZ","3","2","1",3,1,1,1,2,"4","1","1","1","4","1","2","1","2",-1.25202427126666,-1.26906750164037,-1.16837846282912,-1.16431783574405,-1.38878307378811,-1.36280400895082,-1.00457117562236,-1.3951038690293,-1.42901945113414,-1.25293331612477,-1.17373189852286,-1.27987762420677,-1.25202427126666,"AUS_NZ",0,-0.197436654997884,3,3,0,"Outside"
"5011_F_CZ_19_F","5011_F _19","f",21.8336,8.0577,14.3606,"CZ_19_F",-1.3733338344105,0.813573885007997,1.04924811389528,1127243,"CZ_19_F_28",28,2,"CZ_19_F_eye","AUS_NZ","Brown",2,"CZ_19_F","CZ_19_F",28,"CZ_19F_ATD","CZ_19_F_eye","AUS_NZ","3","2","1",3,1,1,1,2,"4","1","1","1","4","1","2","1","2",-1.25202427126666,-1.26906750164037,-1.16837846282912,-1.16431783574405,-1.38878307378811,-1.36280400895082,-1.00457117562236,-1.3951038690293,-1.42901945113414,-1.25293331612477,-1.17373189852286,-1.27987762420677,-1.25202427126666,"AUS_NZ",0,-0.197436654997884,3,3,0,"Outside"
"2051_F_CZ_19_F","2051_F _19","f",35.479,0.6779,1.4664,"CZ_19_F",0.612099804070987,-1.04597095571565,-0.82158585474142,1127243,"CZ_19_F_16",16,3,"CZ_19_F_eye","AUS_NZ","Blue",3,"CZ_19_F","CZ_19_F",16,"CZ_19F_ATD","CZ_19_F_eye","AUS_NZ","3","2","1",3,1,1,1,2,"4","1","1","1","4","1","2","1","2",-1.25202427126666,-1.26906750164037,-1.16837846282912,-1.16431783574405,-1.38878307378811,-1.36280400895082,-1.00457117562236,-1.3951038690293,-1.42901945113414,-1.25293331612477,-1.17373189852286,-1.27987762420677,-1.25202427126666,"AUS_NZ",0,-0.197436654997884,3,3,0,"Outside"
"1071_F_CZ_19_F","1071_F _19","f",39.0215,0.0521,-0.1483,"CZ_19_F",1.12754080721642,-1.20365858428619,-1.05586449235815,1127243,"CZ_19_F_8",8,4,"CZ_19_F_eye","AUS_NZ","Blue",4,"CZ_19_F","CZ_19_F",8,"CZ_19F_ATD","CZ_19_F_eye","AUS_NZ","3","2","1",3,1,1,1,2,"4","1","1","1","4","1","2","1","2",-1.25202427126666,-1.26906750164037,-1.16837846282912,-1.16431783574405,-1.38878307378811,-1.36280400895082,-1.00457117562236,-1.3951038690293,-1.42901945113414,-1.25293331612477,-1.17373189852286,-1.27987762420677,-1.25202427126666,"AUS_NZ",0,-0.197436654997884,3,3,0,"Outside"
"8021_F_CZ_19_F","8021_F _19","f",23.2785,8.6037,14.4238,"CZ_19_F",-1.16309792602805,0.951153695170211,1.0584178729201,1127243,"CZ_19_F_46",46,5,"CZ_19_F_eye","AUS_NZ","Brown",5,"CZ_19_F","CZ_19_F",46,"CZ_19F_ATD","CZ_19_F_eye","AUS_NZ","3","2","1",3,1,1,1,2,"4","1","1","1","4","1","2","1","2",-1.25202427126666,-1.26906750164037,-1.16837846282912,-1.16431783574405,-1.38878307378811,-1.36280400895082,-1.00457117562236,-1.3951038690293,-1.42901945113414,-1.25293331612477,-1.17373189852286,-1.27987762420677,-1.25202427126666,"AUS_NZ",0,-0.197436654997884,3,3,0,"Outside"
"5071_F_CZ_19_F","5071_F _19","f",29.7872,-0.106,-0.9627,"CZ_19_F",-0.216068749691376,-1.2434962545914,-1.17402670358938,1127243,"CZ_19_F_34",34,6,"CZ_19_F_eye","AUS_NZ","Blue",6,"CZ_19_F","CZ_19_F",34,"CZ_19F_ATD","CZ_19_F_eye","AUS_NZ","3","2","1",3,1,1,1,2,"4","1","1","1","4","1","2","1","2",-1.25202427126666,-1.26906750164037,-1.16837846282912,-1.16431783574405,-1.38878307378811,-1.36280400895082,-1.00457117562236,-1.3951038690293,-1.42901945113414,-1.25293331612477,-1.17373189852286,-1.27987762420677,-1.25202427126666,"AUS_NZ",0,-0.197436654997884,3,3,0,"Outside"
"1001_F_CZ_19_F","1001_F _19","f",23.915,4.5899,11.423,"CZ_19_F",-1.07048587281646,-0.0602342938940684,0.623028428589706,1127243,"CZ_19_F_1",1,7,"CZ_19_F_eye","AUS_NZ","Brown",7,"CZ_19_F","CZ_19_F",1,"CZ_19F_ATD","CZ_19_F_eye","AUS_NZ","3","2","1",3,1,1,1,2,"4","1","1","1","4","1","2","1","2",-1.25202427126666,-1.26906750164037,-1.16837846282912,-1.16431783574405,-1.38878307378811,-1.36280400895082,-1.00457117562236,-1.3951038690293,-1.42901945113414,-1.25293331612477,-1.17373189852286,-1.27987762420677,-1.25202427126666,"AUS_NZ",0,-0.197436654997884,3,3,0,"Outside"
"5061_F_CZ_19_F","5061_F _19","f",18.5451,10.4665,12.436,"CZ_19_F",-1.85181731749978,1.4205377068372,0.770005737009692,1127243,"CZ_19_F_33",33,8,"CZ_19_F_eye","AUS_NZ","Brown",8,"CZ_19_F","CZ_19_F",33,"CZ_19F_ATD","CZ_19_F_eye","AUS_NZ","3","2","1",3,1,1,1,2,"4","1","1","1","4","1","2","1","2",-1.25202427126666,-1.26906750164037,-1.16837846282912,-1.16431783574405,-1.38878307378811,-1.36280400895082,-1.00457117562236,-1.3951038690293,-1.42901945113414,-1.25293331612477,-1.17373189852286,-1.27987762420677,-1.25202427126666,"AUS_NZ",0,-0.197436654997884,3,3,0,"Outside"
"4191_F_CZ_19_F","4191_F _19","f",23.8118,4.3825,8.4746,"CZ_19_F",-1.08550168411487,-0.112494463541767,0.195241759146975,1127243,"CZ_19_F_26",26,9,"CZ_19_F_eye","AUS_NZ","Other",9,"CZ_19_F","CZ_19_F",26,"CZ_19F_ATD","CZ_19_F_eye","AUS_NZ","3","2","1",3,1,1,1,2,"4","1","1","1","4","1","2","1","2",-1.25202427126666,-1.26906750164037,-1.16837846282912,-1.16431783574405,-1.38878307378811,-1.36280400895082,-1.00457117562236,-1.3951038690293,-1.42901945113414,-1.25293331612477,-1.17373189852286,-1.27987762420677,-1.25202427126666,"AUS_NZ",0,-0.197436654997884,3,3,0,"Outside"
"8081_F_CZ_19_F","8081_F _19","f",42.1908,0.7864,0.101,"CZ_19_F",1.58868044624784,-1.01863137805521,-1.01969327519221,1127243,"CZ_19_F_49",49,10,"CZ_19_F_eye","AUS_NZ","Blue",10,"CZ_19_F","CZ_19_F",49,"CZ_19F_ATD","CZ_19_F_eye","AUS_NZ","3","2","1",3,1,1,1,2,"4","1","1","1","4","1","2","1","2",-1.25202427126666,-1.26906750164037,-1.16837846282912,-1.16431783574405,-1.38878307378811,-1.36280400895082,-1.00457117562236,-1.3951038690293,-1.42901945113414,-1.25293331612477,-1.17373189852286,-1.27987762420677,-1.25202427126666,"AUS_NZ",0,-0.197436654997884,3,3,0,"Outside"
